Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Volatility,SMA_20,SMA_50,RSI,MACD,MACD_Signal
2024-10-07 00:00:00+00:00,62819.109375,64443.70703125,62152.55078125,62236.66015625,34253562610,0.0,0.0,,,,,,0.0,0.0
2024-10-08 00:00:00+00:00,62221.64453125,63174.3046875,61843.5625,62131.96875,28134475157,0.0,0.0,-0.001682150134457161,,,,,-2.3488456530467374,-1.304914251692632
2024-10-09 00:00:00+00:00,62131.7265625,62508.8359375,60314.61328125,60582.1015625,27670982363,0.0,0.0,-0.024944762232405493,,,,,-51.0541843222818,-21.693959362589826
2024-10-10 00:00:00+00:00,60581.9296875,61236.72265625,58895.20703125,60274.5,30452813570,0.0,0.0,-0.005077433013489285,,,,,-83.06095596795785,-42.482237345438065
2024-10-11 00:00:00+00:00,60275.4609375,63400.87109375,60046.125,62445.08984375,30327141594,0.0,0.0,0.036011743668549645,,,,,-12.331549402042583,-33.513089337526516
2024-10-12 00:00:00+00:00,62444.6171875,63448.78515625,62443.26953125,63193.0234375,16744110886,0.0,0.0,0.011977460447594401,,,,,62.400286519070505,-7.515231799850598
2024-10-13 00:00:00+00:00,63192.9453125,63272.65234375,62035.63671875,62851.375,18177529690,0.0,0.0,-0.005406426515387475,,,,,93.77446776954457,18.118488997865658
2024-10-14 00:00:00+00:00,62848.3984375,66482.4921875,62442.15234375,66046.125,43706958056,0.0,0.0,0.050830232433260125,,,,,265.2457490572051,77.50781681928036
2024-10-15 00:00:00+00:00,66050.3671875,67881.6796875,64809.1953125,67041.109375,48863870879,0.0,0.0,0.015064992457922477,,,,,429.31535644181713,158.7771037982904
2024-10-16 00:00:00+00:00,67042.4609375,68375.2890625,66758.7265625,67612.71875,38195189534,0.0,0.0,0.008526251733136592,,,,,568.8991067847819,250.66824001686518
2024-10-17 00:00:00+00:00,67617.078125,67912.2109375,66647.390625,67399.8359375,32790898511,0.0,0.0,-0.0031485616380424464,,,,,650.4447436248884,338.13705470891455
2024-10-18 00:00:00+00:00,67419.109375,68969.75,67177.8203125,68418.7890625,36857165014,0.0,0.0,0.015118035686984221,,,,,757.3528205236726,428.1670199755495
2024-10-19 00:00:00+00:00,68418.9765625,68668.0078125,68024.640625,68362.734375,14443497908,0.0,0.0,-0.0008192879217548965,,,,,823.4257233559983,511.81749410008433
2024-10-20 00:00:00+00:00,68364.1796875,69359.0078125,68105.71875,69001.703125,18975847518,0.0,0.0,0.009346740674458287,,,,78.39940808705003,899.2197720820404,592.8623397008496
2024-10-21 00:00:00+00:00,69002.0,69462.734375,66829.8515625,67367.8515625,37498611780,0.0,0.0,-0.023678423698328066,,,,68.94213268123355,847.9512880147522,645.7406183966812
2024-10-22 00:00:00+00:00,67360.703125,67801.578125,66581.3671875,67361.40625,31808472566,0.0,0.0,-9.567341618454961e-05,,,,69.44586794770339,798.000347804089,677.0745356408174
2024-10-23 00:00:00+00:00,67362.375,67402.7421875,65188.03515625,66432.1953125,32263980353,0.0,0.0,-0.01379441121005398,,,,72.80652168351341,692.4988710974139,680.230468011377
2024-10-24 00:00:00+00:00,66653.703125,68798.9609375,66454.1015625,68161.0546875,31414428647,0.0,0.0,0.02602442034118191,,,,77.67844951395138,712.2048749847454,686.7426626759088
2024-10-25 00:00:00+00:00,68165.296875,68722.15625,65521.79296875,66642.4140625,41469984306,0.0,0.0,-0.022280180844656217,,,,65.43724949838618,621.2674369965389,673.4561385476734
2024-10-26 00:00:00+00:00,66628.734375,67317.921875,66360.59375,67014.6953125,19588098156,0.0,0.0,0.00558625096700216,,65528.867578125,,64.45506929464258,567.9475775127939,652.1083025486971
2024-10-27 00:00:00+00:00,67023.4765625,68221.3125,66847.2265625,67929.296875,16721307878,0.0,0.0,0.01364777618155344,0.30592563161756375,65813.4994140625,,68.40881437961514,580.4534880590072,637.6439293555185
